Puzzle Number,Word 1,Word 2,Solution 1,Solution 2,Category 1,Category 2
0,TEST,DUMMY,TEST,DUMMY,noun,noun
1,SNOW,FLAKE,SNOW,FLAKE,noun,noun
2,JOLLY,ELF,JOLLY,ELF,adverb,noun
3,GIFT,WRAP,GIFT,WRAP,noun,verb
4,CANDLE,CRAGS,CANDLE,CRAGS,noun,noun
5,STAR,TREE,STAR,TREE,noun,noun
6,WREATH,HOLLY,WREATH,HOLLY,noun,adverb
7,COOKIE,MILK,COOKIE,MILK,noun,noun
8,RUDOLF,DASHER,RUDOLF,DASHER,noun,noun
9,TINSEL,WATER,TINSEL,WATER,noun,noun
10,BOX,UNWRAP,BOX,UNWRAP,noun,adjective
11,FROSTY,WINTER,FROSTY,WINTER,noun,noun
12,TURKEY,FAMILY,TURKEY,FAMILY,noun,noun
13,ADVENT,ICICLE,ADVENT,ICICLE,noun,noun
14,EGG,ALCOHOL,EGG,ALCOHOL,noun,noun
15,NOEL,EVE,NOEL,EVE,noun,adjective
16,COZY,FIRE,COZY,FIRE,noun,noun
17,CANDY,STRIPE,CANDY,STRIPE,noun,noun
18,HEARTH,WARM,HEARTH,WARM,noun,adjective
19,COAL,SOCKS,COAL,SOCKS,noun,noun
20,SLEIGH,BELL,SLEIGH,BELL,noun,noun
21,EGGNOG,AFTER,EGGNOG,AFTER,noun,preposition
22,YULE,LOG,YULE,LOG,noun,noun
23,MERRY,JOY,MERRY,JOY,noun,noun
24,WIN,BILLION,WIN,BILLION,verb,number
25,CALL,FORMAL,CALL,FORMAL,verb,adjective
26,DRY,AMAZING,DRY,AMAZING,adjective,adjective
27,WRITE,SING,WRITE,SING,verb,verb
28,DEBT,BUTTER,DEBT,BUTTER,noun,noun
29,BEND,BROKEN,BEND,BROKEN,verb,verb
30,FIT,ANXIOUS,FIT,ANXIOUS,verb,adjective
31,DVD,BICYCLE,DVD,BICYCLE,noun,noun
32,JUMP,FORGET,JUMP,FORGET,noun,verb
33,WHICH,MATCH,WHICH,MATCH,pronoun,verb
34,NECK,HUNGRY,NECK,HUNGRY,noun,adjective
35,QUICK,GROUP,QUICK,GROUP,adjective,noun
36,DUE,EXPLODE,DUE,EXPLODE,adjective,verb
37,CLUB,MYSELF,CLUB,MYSELF,noun,pronoun
38,KID,COMPLEX,KID,COMPLEX,noun,adjective
39,FIGHT,RIVER,FIGHT,RIVER,noun,noun
40,CROWD,PROVE,CROWD,PROVE,noun,verb
41,DUE,ACHIEVE,DUE,ACHIEVE,adjective,verb
42,FLOOD,CLIMB,FLOOD,CLIMB,noun,verb
43,FLY,ATTEMPT,FLY,ATTEMPT,verb,noun
44,FIX,WELCOME,FIX,WELCOME,verb,adjective
45,JAZZ,FRIDGE,JAZZ,FRIDGE,noun,noun
46,TEXT,BEHAVE,TEXT,BEHAVE,noun,verb
47,SHY,PROGRAM,SHY,PROGRAM,adjective,noun
48,OFF,ABILITY,OFF,ABILITY,,noun
49,BOND,COLUMN,BOND,COLUMN,noun,noun
50,COPY,BELONG,COPY,BELONG,verb,verb
51,PUB,JUSTIFY,PUB,JUSTIFY,noun,verb
52,WAVE,CURVED,WAVE,CURVED,noun,adjective
53,DRY,TRAFFIC,DRY,TRAFFIC,adjective,noun
54,WOW,CONCEPT,WOW,CONCEPT,noun,noun
55,BOOT,BEFORE,BOOT,BEFORE,noun,adverb
56,LONG,MOSTLY,LONG,MOSTLY,adjective,adverb
57,YOU,GOODBYE,YOU,GOODBYE,pronoun,exclamation
58,CELL,CHANGE,CELL,CHANGE,noun,verb
59,FULL,SWITCH,FULL,SWITCH,adjective,noun
60,FRY,SURVIVE,FRY,SURVIVE,FRY,verb
61,HOBBY,RUGBY,HOBBY,RUGBY,noun,noun
62,FIFTH,KNIFE,FIFTH,KNIFE,number,noun
63,BURN,FOURTH,BURN,FOURTH,verb,number
64,FIT,ANYBODY,FIT,ANYBODY,verb,noun
65,FILL,FELLOW,FILL,FELLOW,verb,noun
66,FEE,POSSESS,FEE,POSSESS,noun,verb
67,KNOCK,EXACT,KNOCK,EXACT,verb,adjective
68,ENJOY,BUILD,ENJOY,BUILD,verb,verb
69,FLY,JOURNEY,FLY,JOURNEY,verb,noun
70,CRY,CRUCIAL,CRY,CRUCIAL,verb,adjective
71,CIVIL,WORRY,CIVIL,WORRY,adjective,verb
72,BEE,EXPENSE,BEE,EXPENSE,noun,noun
73,FACT,JACKET,FACT,JACKET,noun,noun
74,EGG,COMMENT,EGG,COMMENT,noun,verb
75,WIN,MAXIMUM,WIN,MAXIMUM,verb,adjective
76,SKY,UNUSUAL,SKY,UNUSUAL,noun,adjective
77,DRINK,PROUD,DRINK,PROUD,noun,adjective
78,WOULD,PLANT,WOULD,PLANT,verb,noun
79,QUEUE,PIECE,QUEUE,PIECE,noun,noun
80,WATCH,ALLOW,WATCH,ALLOW,verb,verb
81,VIRUS,SPICY,VIRUS,SPICY,noun,adjective
82,DRUG,BRIGHT,DRUG,BRIGHT,noun,adjective
83,BLOCK,BUNCH,BLOCK,BUNCH,noun,noun
84,DVD,ACCOUNT,DVD,ACCOUNT,noun,noun
85,ROLL,HORROR,ROLL,HORROR,noun,noun
86,PHOTO,UPPER,PHOTO,UPPER,noun,adjective
87,DRUG,NARROW,DRUG,NARROW,noun,adjective
88,HIGH,FUTURE,HIGH,FUTURE,adjective,noun
89,FISH,AUGUST,FISH,AUGUST,noun,noun
90,MOTOR,THINK,MOTOR,THINK,noun,verb
91,NEXT,FREEZE,NEXT,FREEZE,adjective,noun
92,BROWN,STOCK,BROWN,STOCK,adjective,noun
93,CAKE,EITHER,CAKE,EITHER,noun,adverb
94,DISH,DRIVER,DISH,DRIVER,noun,noun
95,DOUBT,PROOF,DOUBT,PROOF,noun,noun
96,TYPE,REJECT,TYPE,REJECT,noun,verb
97,PRINT,FRONT,PRINT,FRONT,noun,noun
98,WOUND,LUCKY,WOUND,LUCKY,noun,adjective
99,WILD,HIGHLY,WILD,HIGHLY,adjective,adverb
100,GRASS,SORRY,GRASS,SORRY,noun,adjective
101,BOX,ABANDON,BOX,ABANDON,noun,verb
102,DOWN,OBJECT,DOWN,OBJECT,adverb,noun
103,FEE,AVERAGE,FEE,AVERAGE,noun,adjective
104,STYLE,JUDGE,STYLE,JUDGE,noun,noun
105,AWAY,ACTUAL,AWAY,ACTUAL,adverb,adjective
106,FENCE,CATCH,FENCE,CATCH,noun,verb
107,BALL,CHURCH,BALL,CHURCH,noun,noun
108,FUND,ANNUAL,FUND,ANNUAL,noun,adjective
109,SHY,BALANCE,SHY,BALANCE,adjective,noun
110,QUEEN,PENNY,QUEEN,PENNY,noun,noun
111,CRAZY,FAULT,CRAZY,FAULT,adjective,noun
112,JOY,ANGRILY,JOY,ANGRILY,noun,adverb
113,PLAN,HAPPEN,PLAN,HAPPEN,noun,verb
114,CYCLE,FUNNY,CYCLE,FUNNY,noun,adjective
115,KID,ARRIVAL,KID,ARRIVAL,noun,noun
116,TALL,GLOBAL,TALL,GLOBAL,adjective,adjective
117,JOKE,INVITE,JOKE,INVITE,noun,verb
118,GIVE,SETTLE,GIVE,SETTLE,verb,verb
119,HELP,THOUGH,HELP,THOUGH,verb,conjunction
120,HOUR,HONOUR,HOUR,HONOUR,noun,noun
121,WHOM,SHADOW,WHOM,SHADOW,pronoun,noun
122,CURVE,BRING,CURVE,BRING,noun,verb
123,IMAGE,TWICE,IMAGE,TWICE,noun,adverb
124,HELL,VICTIM,HELL,VICTIM,noun,noun
125,FOOD,FEMALE,FOOD,FEMALE,noun,adjective
126,BLACK,HAPPY,BLACK,HAPPY,adjective,adjective
127,ERROR,THIRD,ERROR,THIRD,noun,number
128,LUNCH,DRAFT,LUNCH,DRAFT,noun,noun
129,MIGHT,BLIND,MIGHT,BLIND,verb,adjective
130,PITCH,ADAPT,PITCH,ADAPT,noun,verb
131,GANG,COUNTY,GANG,COUNTY,noun,noun
132,WOW,BATTERY,WOW,BATTERY,noun,noun
133,PINK,BECOME,PINK,BECOME,adjective,verb
134,JUICE,OFTEN,JUICE,OFTEN,noun,adverb
135,CELL,WEALTH,CELL,WEALTH,noun,noun
136,BALL,BEHIND,BALL,BEHIND,noun,
137,FACT,BUTTON,FACT,BUTTON,noun,noun
138,WHILE,THICK,WHILE,THICK,conjunction,adjective
139,MOVE,FAVOUR,MOVE,FAVOUR,noun,noun
140,PRESS,DRESS,PRESS,DRESS,noun,noun
141,CREW,BUDGET,CREW,BUDGET,noun,noun
142,ORDER,FORCE,ORDER,FORCE,noun,noun
143,OCCUR,DRUNK,OCCUR,DRUNK,verb,adjective
144,WEEK,TWENTY,WEEK,TWENTY,noun,number
145,HALF,EXTENT,HALF,EXTENT,noun,noun
146,TRICK,LIGHT,TRICK,LIGHT,noun,noun
147,HALL,GROWTH,HALL,GROWTH,noun,noun
148,MELT,AMAZED,MELT,AMAZED,verb,verb
149,BAND,NOBODY,BAND,NOBODY,noun,noun
150,JULY,MUSEUM,JULY,MUSEUM,adverb,noun
151,CLICK,WEIGH,CLICK,WEIGH,noun,verb
152,FOUR,ANYWAY,FOUR,ANYWAY,number,adverb
153,KICK,BOTTLE,KICK,BOTTLE,noun,noun
154,PICK,INJURE,PICK,INJURE,verb,verb
155,PULL,FOLLOW,PULL,FOLLOW,verb,verb
156,WISE,MEDIUM,WISE,MEDIUM,adjective,noun
157,WORK,WINDOW,WORK,WINDOW,noun,noun
158,GROW,BORROW,GROW,BORROW,verb,verb
159,JUNE,SURVEY,JUNE,SURVEY,noun,noun
160,QUIT,DIVIDE,QUIT,DIVIDE,verb,verb
161,APPLY,MONTH,APPLY,MONTH,verb,noun
162,YOUR,UNIQUE,YOUR,UNIQUE,determiner,adjective
163,MILD,AFFORD,MILD,AFFORD,adjective,verb
164,SADLY,FANCY,SADLY,FANCY,adverb,adjective
165,BOOT,COFFEE,BOOT,COFFEE,noun,noun
166,POWER,ONION,POWER,ONION,noun,noun
167,BITE,HEALTH,BITE,HEALTH,verb,noun
168,DEBT,ENGAGE,DEBT,ENGAGE,noun,verb
169,PRAY,JUNIOR,PRAY,JUNIOR,verb,adjective
170,FORK,LIQUID,FORK,LIQUID,noun,adjective
171,GOOD,MIRROR,GOOD,MIRROR,adjective,noun
172,BAND,AFFECT,BAND,AFFECT,noun,verb
173,VENUE,YOUTH,VENUE,YOUTH,noun,noun
174,BRAND,TRUCK,BRAND,TRUCK,noun,noun
175,MIXED,HURRY,MIXED,HURRY,verb,noun
176,VITAL,STAFF,VITAL,STAFF,adjective,noun
177,TOOTH,EIGHT,TOOTH,EIGHT,noun,number
178,CITY,EXPAND,CITY,EXPAND,noun,verb
179,TIGHT,ADOPT,TIGHT,ADOPT,adjective,verb
180,PACK,EIGHTY,PACK,EIGHTY,noun,number
181,COPY,WAITER,COPY,WAITER,verb,noun
182,THIEF,MOVIE,THIEF,MOVIE,noun,noun
183,BILL,EFFECT,BILL,EFFECT,noun,noun
184,LORRY,CHECK,LORRY,CHECK,noun,verb
185,WISH,INSIST,WISH,INSIST,verb,verb
186,MALL,ATTACK,MALL,ATTACK,noun,verb
187,LUCK,FLIGHT,LUCK,FLIGHT,noun,noun
188,SPELL,LEVEL,SPELL,LEVEL,verb,noun
189,TALK,COMMIT,TALK,COMMIT,verb,verb
190,AWAY,COMEDY,AWAY,COMEDY,adverb,noun
191,FRUIT,WORLD,FRUIT,WORLD,noun,noun
192,FRY,APPROVE,FRY,APPROVE,verb,verb
193,GRANT,EMPTY,GRANT,EMPTY,noun,adjective
194,SKY,ATTRACT,SKY,ATTRACT,noun,verb
195,DEPTH,SIGHT,DEPTH,SIGHT,noun,noun
196,DUTY,USEFUL,DUTY,USEFUL,noun,adjective
197,PUB,BELIEVE,PUB,BELIEVE,noun,verb
198,FLASH,CLASS,FLASH,CLASS,noun,noun
199,UNIT,RHYTHM,UNIT,RHYTHM,noun,noun
200,KILL,BUBBLE,KILL,BUBBLE,verb,noun
201,CALL,LENGTH,CALL,LENGTH,verb,noun
202,FIX,AIRLINE,FIX,AIRLINE,verb,noun
203,FIVE,EMERGE,FIVE,EMERGE,number,verb
204,CHEF,ACCESS,CHEF,ACCESS,noun,noun
205,DOWN,MEMORY,DOWN,MEMORY,adverb,noun
206,FEED,VOLUME,FEED,VOLUME,noun,noun
207,HOUSE,PEACE,HOUSE,PEACE,noun,noun
208,SAFE,OFFEND,SAFE,OFFEND,adjective,verb
209,WOOD,ANYONE,WOOD,ANYONE,noun,pronoun
210,CITY,CRISIS,CITY,CRISIS,noun,noun
211,LEND,CLEVER,LEND,CLEVER,verb,noun
212,CLUB,EXCUSE,CLUB,EXCUSE,noun,verb
213,GOODS,AWARE,GOODS,AWARE,noun,adjective
214,CAKE,CHANCE,CAKE,CHANCE,noun,noun
215,ROOF,FROZEN,ROOF,FROZEN,noun,verb
216,BEE,ANALYSE,BEE,ANALYSE,noun,verb
217,HOLD,LOUDLY,HOLD,LOUDLY,verb,adverb
218,BITE,LUXURY,BITE,LUXURY,verb,noun
219,MARRY,DIRTY,MARRY,DIRTY,verb,adjective
220,CLOCK,VOICE,CLOCK,VOICE,noun,noun
221,FULLY,PUPIL,FULLY,PUPIL,adverb,noun
222,RICH,BOTTOM,RICH,BOTTOM,adjective,noun
223,DISC,MEMBER,DISC,MEMBER,noun,noun
224,WOOL,SUPPLY,WOOL,SUPPLY,noun,verb
225,HOLE,EXPOSE,HOLE,EXPOSE,noun,verb
226,CHEF,BETTER,CHEF,BETTER,noun,adjective
227,SWIM,STICKY,SWIM,STICKY,verb,adjective
228,CRY,ADDRESS,CRY,ADDRESS,verb,noun
229,LAZY,PEPPER,LAZY,PEPPER,adjective,noun
230,FLAG,GUILTY,FLAG,GUILTY,noun,adjective
231,FOOT,PUBLIC,FOOT,PUBLIC,noun,adjective
232,WIFE,REFUSE,WIFE,REFUSE,noun,verb
233,PUSH,STUDIO,PUSH,STUDIO,verb,noun
234,TINY,POLICY,TINY,POLICY,adjective,noun
235,MARK,TWELVE,MARK,TWELVE,noun,number
236,OFF,ADVANCE,OFF,ADVANCE,adverb,noun
237,TAXI,SCRIPT,TAXI,SCRIPT,noun,noun
238,FOLK,STRONG,FOLK,STRONG,noun,adjective
239,MATHS,BLANK,MATHS,BLANK,noun,adjective
240,TIDY,DETECT,TIDY,DETECT,adjective,verb
241,GUESS,FRESH,GUESS,FRESH,verb,adjective
242,POUND,CLOTH,POUND,CLOTH,noun,noun
243,BILL,FINISH,BILL,FINISH,noun,verb
244,SIZE,DEVICE,SIZE,DEVICE,noun,noun
245,BACK,AUTHOR,BACK,AUTHOR,adverb,noun
246,FIND,INJURY,FIND,INJURY,verb,noun
247,GLAD,VALLEY,GLAD,VALLEY,adjective,noun
248,SOUL,HOLLOW,SOUL,HOLLOW,noun,adjective
249,BURN,FRIDAY,BURN,FRIDAY,verb,noun
250,SOCK,VISION,SOCK,VISION,noun,noun
251,DUTY,BEAUTY,DUTY,BEAUTY,noun,noun
252,CREW,CHEESE,CREW,CHEESE,noun,noun
253,FILM,HARDLY,FILM,HARDLY,noun,adverb
254,HUGE,WEIGHT,HUGE,WEIGHT,adjective,noun
255,BACK,SAVING,BACK,SAVING,adverb,verb
256,BOND,BRANCH,BOND,BRANCH,noun,noun
257,TELL,EXPERT,TELL,EXPERT,verb,noun
258,BEND,ACCEPT,BEND,ACCEPT,verb,verb
259,GIRL,COMMON,GIRL,COMMON,noun,adjective
260,WILL,FIGURE,WILL,FIGURE,verb,noun
261,DISH,STUPID,DISH,STUPID,noun,adjective
262,HILL,HUMOUR,HILL,HUMOUR,noun,noun
263,HOLY,DOLLAR,HOLY,DOLLAR,adjective,noun
264,WAIT,TOMATO,WAIT,TOMATO,verb,noun
265,WIND,MONKEY,WIND,MONKEY,noun,noun
266,TRIP,THIRTY,TRIP,THIRTY,noun,number
267,WALL,ALWAYS,WALL,ALWAYS,noun,adverb
268,YOU,BIOLOGY,YOU,BIOLOGY,pronoun,noun